time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-14 00:00:00,2,1,93,0.2,,260,26,46.3,1002,,19
2024-01-14 01:00:00,1.6,0.6,93,0.1,,260,29,46.3,1003.3,,7
2024-01-14 02:00:00,1,0,93,0.2,,260,20,46.3,1001,,12
2024-01-14 03:00:00,1,1,100,0,,270,24,46.3,1001,,12
2024-01-14 04:00:00,1,0,93,0.1,,280,26,44.5,1000,,12
2024-01-14 05:00:00,1,0,93,0,,260,26,42.6,1000,,14
2024-01-14 06:00:00,1,0,93,0,,270,22,42.6,1000,,14
2024-01-14 07:00:00,1.4,-0.1,90,0,,260,25,42.6,1001,,4
2024-01-14 08:00:00,1,0,93,0,,270,26,40.8,1000,,12
2024-01-14 09:00:00,1,0,93,0,,270,26,42.6,1001,,12
2024-01-14 10:00:00,1,0,93,0,,270,24,40.8,1001,,12
2024-01-14 11:00:00,2,0.1,87,0,,270,22,37,1001,,4
2024-01-14 12:00:00,2,0.1,87,0,,260,26,38.9,1000,,4
2024-01-14 13:00:00,2,0.1,87,0,,260,25,38.9,1001.2,,4
2024-01-14 14:00:00,2,0.1,87,0,,270,19,38.9,1000,,12
2024-01-14 15:00:00,1,0,93,0,,260,17,37,999,,12
2024-01-14 16:00:00,1,0,93,0,,260,20,37,999,,12
2024-01-14 17:00:00,1,0,93,0,,250,26,33.3,998,,17
2024-01-14 18:00:00,1,0,93,0,,260,28,33.3,998,,7
2024-01-14 19:00:00,1.5,0,90,0.2,,240,18,35.2,998.5,,4
2024-01-14 20:00:00,1,0,93,0,,230,19,35.2,996,,12
2024-01-14 21:00:00,1,0,93,0.3,,230,20,35.2,996,,12
2024-01-14 22:00:00,1,0,93,0.3,,240,19,35.2,995,,12
2024-01-14 23:00:00,1,0,93,0,,230,17,35.2,994,,21
2024-01-15 00:00:00,1,0,93,0.2,,240,20,37,993,,21
2024-01-15 01:00:00,0.9,-0.1,93,0,,230,22,37,993.7,,21
2024-01-15 02:00:00,0,0,100,0.2,,240,20,38.9,991,,14
2024-01-15 03:00:00,1,-0.9,87,0.1,,250,20,40.8,990,,14
2024-01-15 04:00:00,0,0,100,0,,240,20,40.8,989,,14
2024-01-15 05:00:00,0,0,100,0.4,,250,24,38.9,989,,21
2024-01-15 06:00:00,0,-1,93,0,,260,30,40.8,989,,14
2024-01-15 07:00:00,0.6,-1.2,88,0,10,240,25,42.6,990.2,,4
2024-01-15 08:00:00,0,-1,93,0,,240,22,42.6,989,,14
2024-01-15 09:00:00,1,-0.9,87,0,,240,26,44.5,989,,14
2024-01-15 10:00:00,1,-0.9,87,0.2,,250,33,46.3,989,,14
2024-01-15 11:00:00,0,-1,93,0.1,,250,26,53.7,989,,21
2024-01-15 12:00:00,1,-0.9,87,0.3,,260,28,53.7,989,,21
2024-01-15 13:00:00,1.4,-1.2,83,0.2,,250,29,53.7,989.6,,21
2024-01-15 14:00:00,2,-2,75,0.3,,250,37,51.8,988,,21
2024-01-15 15:00:00,2,-2,75,0,,260,32,50,988,,21
